State,District,Basin,Sub_Basin,Station_Name,Station_Type,Date,Month,Year,Agency_name,Latitude,Longitude,_24d,_as,_do,aldrin,alk_phen,alk_tot,b,barium,bhc,bod,bod3_27,ca,carbon_14,cd,chlf_a,cl,cn,co3,cocci,cod,cr,cu,data_gov_update_date,ddt,dieldrin,do_sat_,ec_fld,ec_gen,endos,f,fcol_mpn,fe,har_ca,har_mg,har_total,hco3,hg,k,mg,na,na_,nh3_n,ni,no2_n,no2_no3,no3_n,o_po4_p,org_n,p_tot,pah,pb,ph_fld,ph_gen,rsc,sar,secchi,sio2,sio3,so4,ss,tcol_mpn,tds,temp,toc,ts,turb,zn,_401,ag,al,colour_cod,d_o,d_o_,mn,odour_code,oxygen_18,pcb,ph,phenols,radon,se,strontium,tritium,uranium,no2__n,caco3,mgcaco3
Andhra Pradesh,WEST GODAVARI,NA,NA,Polavaram,Surface Water,2006-06-01 08:00:00,06,2006,CWC,17.2458333333,81.6597222222,NA,NA,5.4000000954,NA,NA,NA,0.150000006,NA,NA,NA,0.8000000119,19,NA,NA,NA,15,NA,0,NA,1,NA,NA,2025-08-27,NA,NA,NA,NA,164,NA,0.2899999917,9000,NA,NA,NA,NA,99,NA,3.0999999046,3.5,13,NA,0.0500000007,NA,0.0199999996,0.6800000072,0.6600000262,NA,NA,0.0199999996,NA,NA,8,NA,NA,NA,NA,13,NA,1,NA,16000,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2006-07-06 14:34:00,07,2006,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2010-03-17 14:36:00,03,2010,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2010-06-13 11:07:00,06,2010,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2010-08-20 14:15:00,08,2010,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,6.5,NA,0,132.1999969482,NA,NA,NA,NA,3.4000000954,34,NA,NA,NA,24.7399997711,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,6.5,NA,302,NA,0.25,NA,NA,34,2.7999999523,95,132.1999969482,NA,6.4000000954,2.7999999523,24,33.2599983215,NA,NA,2.5399999619,2.7200000286,0.1800000072,NA,NA,NA,NA,NA,7.9200000763,7.9200000763,0.7099999785,1.0599999428,NA,NA,NA,0,NA,NA,144,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2013-03-04 12:22:00,03,2013,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2013-06-04 12:01:00,06,2013,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2013-07-23 12:01:00,07,2013,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,8,NA,0,136.1999969482,NA,NA,NA,NA,2.7999999523,32,NA,NA,NA,23.75,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,298,NA,0.25,NA,NA,32,NA,NA,136.1999969482,NA,5,2.9000000954,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9400000572,0.5299999714,NA,NA,NA,NA,NA,NA,NA,141,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2013-09-04 12:09:00,09,2013,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,WEST GODAVARI,Godavari,-,Anantapalli,Surface Water,2010-12-10 15:24:00,12,2010,Andhra Pradesh SW,16.9830555556,81.3663888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
